ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code
5NK7,heliport,Hammersley Hill Heliport,41.5945015,-73.55599976,US,New York,NY,Pawling,5NK7
5NK8,heliport,South Quaker Heliport,41.52690125,-73.58059692,US,New York,NY,Pawling,5NK8
9OK2,heliport,Pawnee Municipal Hospital Heliport,36.33340073,-96.8003006,US,Oklahoma,OK,Pawnee,9OK2
IN97,heliport,Mgt Station 2113 Heliport,39.01369858,-87.40720367,US,Indiana,IN,Paxton,IN97
UT35,heliport,Mountain View Hospital Heliport,40.044291,-111.715391,US,Utah,UT,Payson,UT35
MA49,heliport,Metro-Swift Heliport,42.54119873,-70.92759705,US,Massachusetts,MA,Peabody,MA49
AZ12,heliport,183 Mile Heliport,36.10829926,-113.2129974,US,Arizona,AZ,Peach Springs,AZ12
55VA,heliport,Giles Memorial Hospital Heliport,37.322186,-80.723133,US,Virginia,VA,Pearisburg,55VA
NY47,heliport,Wyeth Ayerst Heliport,41.07749939,-74.02469635,US,New York,NY,Pearl River,NY47
03TX,heliport,M D K Field Heliport,29.580929,-95.30508,US,Texas,TX,Pearland,03TX
66TA,heliport,Bradair Heliport,29.59049988,-95.28299713,US,Texas,TX,Pearland,66TA
7TA2,heliport,Club House Nr 1 Heliport,29.56329918,-95.24970245,US,Texas,TX,Pearland,7TA2
89XS,heliport,Joe Rye Heliport,29.58519936,-95.3035965,US,Texas,TX,Pearland,89XS
TS45,heliport,Gulfcoast Heliport,29.57659912,-95.33300018,US,Texas,TX,Pearland,TS45
TE98,heliport,Frio Regional Hospital Heliport,28.8972,-99.117203,US,Texas,TX,Pearsall,TE98
6LA7,heliport,Cagc Freshwater Terminal Heliport,29.53770065,-92.30290222,US,Louisiana,LA,Pecan Island,6LA7
5IL1,heliport,Olson Heliport,42.34609985,-89.28649902,US,Illinois,IL,Pecatonica,5IL1
IS58,heliport,Pecatonica Fire Protection District Heliport,42.30720139,-89.36250305,US,Illinois,IL,Pecatonica,IS58
2NK4,heliport,Wheelabrator Westchester Heliport,41.27748,-73.940418,US,New York,NY,Peekskill,2NK4
36NH,heliport,Long Pond Landing Heliport,42.70080185,-71.37110138,US,New Hampshire,NH,Pelham,36NH
NH93,heliport,Sean Heliport,42.76290131,-71.31529999,US,New Hampshire,NH,Pelham,NH93
PEC,seaplane_base,Pelican Seaplane Base,57.9552002,-136.2359924,US,Alaska,AK,Pelican,PEC
7IA9,heliport,Pella Community Hospital Heliport,41.41249847,-92.90989685,US,Iowa,IA,Pella,7IA9
NH33,heliport,Brigham Heliport,43.19589996,-71.47730255,US,New Hampshire,NH,Pembroke,NH33
FA21,heliport,Memorial Hospital West Helistop,26.01429939,-80.31140137,US,Florida,FL,Pembroke Pines,FA21
9PN9,heliport,Perin Heliport,40.84700012,-75.2437973,US,Pennsylvania,PA,Pen Argyl,9PN9
NE02,heliport,Pender Community Hospital Heliport,42.10609818,-96.71109772,US,Nebraska,NE,Pender,NE02
40OR,heliport,St Anthony's Hospital Heliport,45.67290115,-118.7699966,US,Oregon,OR,Pendleton,40OR
46OR,heliport,Delamarter Heliport,45.64260101,-118.8089981,US,Oregon,OR,Pendleton,46OR
33PN,heliport,Skepton Heliport,40.38899994,-75.43800354,US,Pennsylvania,PA,Pennsburg,33PN
2AZ2,heliport,Sunstate-Glendale Helistop,33.568678,-112.228051,US,Arizona,AZ,Peoria,2AZ2
2IS1,heliport,Proctor Hospital Heliport,40.75059891,-89.59449768,US,Illinois,IL,Peoria,2IS1
7B1,heliport,Rainbow Heliport,40.77529907,-89.67590332,US,Illinois,IL,Peoria,7B1
IL04,heliport,Methodist Medical Center of Illinois Heliport,40.70059967,-89.59480286,US,Illinois,IL,Peoria,IL04
LL36,heliport,Exposition Gardens Heliport,40.76250076,-89.6167984,US,Illinois,IL,Peoria,LL36
LL37,heliport,OSF Saint Francis Medical Center Heliport,40.7016983,-89.59320068,US,Illinois,IL,Peoria,LL37
3OI9,heliport,V.J.S. Heliport,41.47639847,-81.46600342,US,Ohio,OH,Pepper Pike,3OI9
06MA,heliport,The Barn Heliport,42.69060135,-71.60900116,US,Massachusetts,MA,Pepperell,06MA
8NJ7,heliport,Pio Costa Heliport,40.94309998,-74.29070282,US,New Jersey,NJ,Pequannock,8NJ7
NM07,heliport,Home Heliport,34.83060074,-106.677002,US,New Mexico,NM,Peralta,NM07
0PA9,heliport,Carson Heliport,40.33340073,-75.21630096,US,Pennsylvania,PA,Perkasie,0PA9
39CL,heliport,Castle Heliport,33.78789902,-117.2300034,US,California,CA,Perris,39CL
FD21,heliport,Doctors Memorial Hospital Heliport,30.12768,-83.5788255,US,Florida,FL,Perry,
OK38,heliport,Stillwater Medical-Perry Heliport,36.288304,-97.300243,US,Oklahoma,OK,Perry,OK38
PYL,seaplane_base,Perry Island Seaplane Base,60.68529892,-147.9190063,US,Alaska,AK,Perry Island,PYL
68OI,heliport,Abbey Etna Heliport,41.56480026,-83.60990143,US,Ohio,OH,Perrysburg,68OI
6MO5,heliport,Perry County Memorial Hospital Heliport,37.732219,-89.866024,US,Missouri,MO,Perryville,6MO5
22JY,heliport,Hess State Street Heliport,40.54059982,-74.25689697,US,New Jersey,NJ,Perth Amboy,22JY
IS49,heliport,Illinois Valley Community Hospital Heliport,41.32920074,-89.123703,US,Illinois,IL,Peru,IS49
43I,seaplane_base,Mississinewa Reservoir Landing Area Seaplane Base,40.70370102,-85.93250275,US,Indiana,IN,Peru,43I
63A,seaplane_base,Lloyd R. Roundtree Seaplane Facility Seaplane Base,56.81129837,-132.9600067,US,Alaska,AK,Petersburg,63A
97IN,heliport,Solar Heliport,38.4958992,-87.28250122,US,Indiana,IN,Petersburg,97IN
16WI,seaplane_base,Lac Vieux Desert Seaplane Base,46.1216011,-89.1210022,US,Wisconsin,WI,Phelps,16WI
1MS1,heliport,Neshoba General Hospital Heliport,32.757279,-89.105745,US,Mississippi,MS,Philadelphia,1MS1
04PA,heliport,S & C Distribution Center Heliport,39.87929916,-75.22879791,US,Pennsylvania,PA,Philadelphia,04PA
05PA,heliport,PECO Mob. Heliport,39.9548,-75.178201,US,Pennsylvania,PA,Philadelphia,05PA
10PN,heliport,One Meridian Plaza Heliport,39.93069839,-75.24410248,US,Pennsylvania,PA,Philadelphia,10PN
12PN,heliport,WCAU Heliport,40.007112,-75.216197,US,Pennsylvania,PA,Philadelphia,12PN
1PA1,heliport,401 City Avenue Heliport,40.00960159,-75.21379852,US,Pennsylvania,PA,Philadelphia,1PA1
1PA2,heliport,St Christopher's Hospital For Children Heliport,40.00650024,-75.1257019,US,Pennsylvania,PA,Philadelphia,1PA2
1PS5,heliport,Children's Hospital Heliport,39.94820023,-75.19429779,US,Pennsylvania,PA,Philadelphia,1PS5
1PS6,heliport,Frankford Hospital-Torresdale Division Heliport,40.06959915,-74.98210144,US,Pennsylvania,PA,Philadelphia,1PS6
1PS7,heliport,Hahnemann Heliport,39.95709991,-75.16269684,US,Pennsylvania,PA,Philadelphia,1PS7
2PN8,heliport,Federal Reserve Bank Heliport,39.9367981,-75.15049744,US,Pennsylvania,PA,Philadelphia,2PN8
2PS9,heliport,Albert Einstein Medical Center Heliport,40.03680038,-75.14350128,US,Pennsylvania,PA,Philadelphia,2PS9
36PA,heliport,Episcopal Hospital Heliport,39.99010086,-75.13050079,US,Pennsylvania,PA,Philadelphia,36PA
56PN,heliport,Atlantic Refining & Marketing Corp Heliport,39.9197998,-75.19660187,US,Pennsylvania,PA,Philadelphia,56PN
9PA4,heliport,S & C 8th & Market Helistop,39.95339966,-75.14959717,US,Pennsylvania,PA,Philadelphia,9PA4
9PA6,heliport,State Police Area Six Heliport,40.03340149,-75.24960327,US,Pennsylvania,PA,Philadelphia,9PA6
9PA8,heliport,Thomas Jefferson University Hospital Heliport,39.94900131,-75.15850067,US,Pennsylvania,PA,Philadelphia,9PA8
9PA9,heliport,Lankenau Hospital Heliport,39.98789978,-75.26069641,US,Pennsylvania,PA,Philadelphia,9PA9
P72,heliport,Penn's Landing Heliport,39.93730164,-75.14129639,US,Pennsylvania,PA,Philadelphia,P72
PA03,heliport,Hospital of Univ. of Pa Heliport,39.94589996,-75.19409943,US,Pennsylvania,PA,Philadelphia,PA03
PA62,heliport,Temple University Heliport,40.00479889,-75.14959717,US,Pennsylvania,PA,Philadelphia,PA62
PS16,heliport,Holy Redeemer Hospital Heliport,40.11040115,-75.082901,US,Pennsylvania,PA,Philadelphia,PS16
PS28,heliport,Penn Dda Inc Heliport,40.03570175,-75.01629639,US,Pennsylvania,PA,Philadelphia,PS28
PS55,heliport,Core States - 1st Pa Heliport,39.95840073,-75.19129944,US,Pennsylvania,PA,Philadelphia,PS55
PS75,heliport,Peco Oregon Shop Heliport,39.91260147,-75.13990021,US,Pennsylvania,PA,Philadelphia,PS75
MT67,heliport,Granite County Memorial Hospital Heliport,46.32989883,-113.2949982,US,Montana,MT,Philipsburg,MT67
5NJ7,heliport,Warren Hospital Heliport,40.70259857,-75.1780014,US,New Jersey,NJ,Phillipsburg,5NJ7
93NJ,heliport,Ingersoll-Rand Company Heliport,40.69649887,-75.16770172,US,New Jersey,NJ,Phillipsburg,93NJ
JY16,heliport,Merrill Creek Reservoir Heliport,40.74000168,-75.09059906,US,New Jersey,NJ,Phillipsburg,JY16
0AZ0,heliport,Arizona Heart Hospital Heliport,33.481187,-112.03976,US,Arizona,AZ,Phoenix,0AZ0
0AZ6,heliport,St Joseph's Hospital Heliport,33.482963,-112.079301,US,Arizona,AZ,Phoenix,0AZ6
1AZ4,heliport,Schuff Aviation Heliport,33.44258,-112.099222,US,Arizona,AZ,Phoenix,1AZ4
1AZ6,heliport,Pulice Construction Heliport,33.57410049,-112.1029968,US,Arizona,AZ,Phoenix,1AZ6
20E,heliport,Valleywise Health Medical Center Heliport,33.456859,-112.026684,US,Arizona,AZ,Phoenix,20E
3AZ4,heliport,John C Lincoln Deer Valley Hospital Heliport,33.665905,-112.115325,US,Arizona,AZ,Phoenix,3AZ4
4AZ5,heliport,New Waddell Dam Heliport,33.845123,-112.269823,US,Arizona,AZ,Phoenix,4AZ5
5AZ2,heliport,Southern Command Police Station Heliport,33.4068985,-112.0719986,US,Arizona,AZ,Phoenix,5AZ2
64AZ,heliport,KSAZ-TV Heliport,33.448863,-112.081039,US,Arizona,AZ,Phoenix,64AZ
AZ02,heliport,Gateway East KNXV-TV Heliport,33.454181,-111.983753,US,Arizona,AZ,Phoenix,AZ02
AZ07,heliport,Phoenix Area Heliport,33.442718,-112.149135,US,Arizona,AZ,Phoenix,AZ07
AZ24,heliport,Phoenix Baptist Hospital Heliport,33.52479935,-112.1019974,US,Arizona,AZ,Phoenix,AZ24
AZ29,heliport,Westridge Mall Heliport,33.4756012,-112.223999,US,Arizona,AZ,Phoenix,AZ29
AZ30,heliport,United Bank Plaza Heliport,33.48529816,-112.0749969,US,Arizona,AZ,Phoenix,AZ30
AZ33,heliport,Knoell Main Office Heliport,33.425624,-112.029682,US,Arizona,AZ,Phoenix,AZ33
AZ41,heliport,Abacus Tower Heliport,33.48339844,-112.0699997,US,Arizona,AZ,Phoenix,AZ41
AZ48,heliport,Banner University Medical Center Helipad,33.464972,-112.057782,US,Arizona,AZ,Phoenix,AZ48
AZ62,heliport,Inn Place Hotel Heliport,33.577801,-112.121003,US,Arizona,AZ,Phoenix,AZ62
AZ83,heliport,Phoenix Memorial Hospital Heliport,33.43590164,-112.0800018,US,Arizona,AZ,Phoenix,AZ83
