ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code,class
KMTH,medium_airport,The Florida Keys Marathon Airport,24.726101,-81.051399,US,Florida,FL,Marathon,MTH,Civillian
KTMB,medium_airport,Miami Executive Airport,25.6479,-80.4328,US,Florida,FL,Miami,TMB,Civillian
KFSM,medium_airport,Fort Smith Regional Airport,35.336601,-94.367401,US,Arkansas,AR,Fort Smith,FSM,Civillian
PAJN,medium_airport,Juneau International Airport,58.35499954,-134.576004,US,Alaska,AK,Juneau,JNU,Civillian
KMOD,medium_airport,Modesto City Co-Harry Sham Field,37.625801,-120.954002,US,California,CA,Modesto,MOD,Civillian
KIAG,medium_airport,Niagara Falls International Airport,43.1073,-78.946198,US,New York,NY,Niagara Falls,IAG,Civillian
KPGD,medium_airport,Charlotte County Airport,26.9202,-81.990501,US,Florida,FL,Punta Gorda,PGD,Civillian
KPOU,medium_airport,Dutchess County Airport,41.62659836,-73.88420105,US,New York,NY,Poughkeepsie,POU,Civillian
KFTY,medium_airport,Fulton County Airport Brown Field,33.77909851,-84.52140045,US,Georgia,GA,Atlanta,FTY,Civillian
KSSI,medium_airport,St Simons Island Airport,31.1518,-81.391296,US,Georgia,GA,St Simons Island,SSI,Civillian
KAHN,medium_airport,Athens Ben Epps Airport,33.94860077,-83.32630157,US,Georgia,GA,Athens,AHN,Civillian
KCDC,medium_airport,Cedar City Regional Airport,37.70100021,-113.098999,US,Utah,UT,Cedar City,CDC,Civillian
KRFD,medium_airport,Chicago Rockford International Airport,42.1954,-89.097198,US,Illinois,IL,Chicago/Rockford,RFD,Civillian
KFAY,medium_airport,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,US,North Carolina,NC,Fayetteville,FAY,Civillian
KLNS,medium_airport,Lancaster Airport,40.12170029,-76.2960968,US,Pennsylvania,PA,Lancaster,LNS,Civillian
KORH,medium_airport,Worcester Regional Airport,42.2673,-71.875702,US,Massachusetts,MA,Worcester,ORH,Civillian
KOSU,medium_airport,The Ohio State University Airport - Don Scott Field,40.0798,-83.072998,US,Ohio,OH,Columbus,OSU,Civillian
KSDM,medium_airport,Brown Field Municipal Airport,32.57229996,-116.9800034,US,California,CA,San Diego,SDM,Civillian
KBRO,medium_airport,Brownsville South Padre Island International Airport,25.90679932,-97.42590332,US,Texas,TX,Brownsville,BRO,Civillian
KGFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,US,North Dakota,ND,Grand Forks,GFK,Civillian
